ArticleId,Labels
64858,147 120
64859,43 12
64860,150 77
64861,200 184
64862,16 45
64863,157 123
64864,111 56 19
64865,63 121
64866,189 60
64867,178 121
64868,60 187
64869,168 161 128
64870,195 172
64871,32 188 96
64872,60 163 124
64873,191 50
64874,48 104 149
64875,130 59
64876,124 132
64877,64 124 13
64878,97 58
64879,58 196 68
64880,55 51
64881,109 142
64882,142 128
64883,29 143 79
64884,184 183 113
64885,93 86
64886,183 81
64887,1 92
64888,98 190
64889,14 190 127
64890,189 49
64891,31 124 121
64892,42 133
64893,197 132 64
64894,196 136 69
64895,67 40
64896,100 29
64897,155 16 2
64898,71 174 142
64899,171 90
64900,168 29 148
64901,108 10
64902,113 89 201
64903,182 192 139
64904,34 7
64905,136 28 7
64906,44 192
64907,115 115 151
64908,39 193 45
64909,140 10
64910,161 141
64911,6 140
64912,9 19
64913,200 52 197
64914,146 50 78
64915,193 25 196
64916,135 25
64917,191 152
64918,81 49 115
64919,170 8
64920,58 72
64921,171 60 95
64922,1 136 40
64923,8 93 92
64924,197 106 116
64925,82 163 10
64926,123 31
64927,46 132 135
64928,56 152
64929,147 87
64930,60 168 124
64931,182 184
64932,18 196 195
64933,197 151 67
64934,136 63 112
64935,123 18 34
64936,85 44
64937,67 90
64938,90 51
64939,177 119
64940,73 119 10
64941,97 61
64942,119 171
64943,167 123 82
64944,123 191 99
64945,43 61
64946,126 94
64947,184 43
64948,189 97
64949,202 88
64950,187 170
64951,95 7 6
64952,72 188 116
64953,191 39
64954,52 93 120
64955,179 190 113
64956,127 38
64957,72 86
64958,177 82
64959,100 85 135
64960,197 179
64961,168 135 34
64962,142 57 176
64963,26 134
64964,163 112 91
64965,150 180
64966,15 130 202
64967,41 16
64968,141 87
64969,149 102
64970,67 1
64971,33 137
64972,110 77
64973,71 137 53
64974,122 77 167
64975,45 99 78
64976,182 183
64977,138 35
64978,9 127 130
64979,167 202
64980,157 190 63
64981,40 3 5
64982,115 93 63
64983,153 95
64984,167 71
64985,90 19 166
64986,159 108
64987,7 31 34
64988,153 123
64989,85 8
64990,45 37 64
64991,194 12 172
64992,178 62 138
64993,66 130 156
64994,46 9 101
64995,165 176 10
64996,127 110
64997,184 176
64998,84 109 111
64999,135 49 92
65000,99 141 164
65001,109 5
65002,153 87
65003,33 35
65004,120 120
65005,171 25
65006,98 191 197
65007,135 14
65008,72 58
65009,49 61 186
65010,30 9 161
65011,82 201
65012,130 73 126
65013,40 69 47
65014,84 134 194
65015,20 184 131
65016,202 74
65017,198 155 188
65018,58 15
65019,67 130
65020,157 51 31
65021,29 7
65022,99 101 28
65023,55 144 199
65024,86 6
65025,86 153
65026,158 15
65027,13 110 129
65028,25 178 138
65029,63 36
65030,99 92 57
65031,107 142
65032,86 187 15
65033,3 4
65034,134 27 44
65035,144 115
65036,159 37
65037,59 196 37
65038,124 128
65039,84 141
65040,112 47
65041,158 93
65042,137 20 72
65043,173 14 134
65044,101 172
65045,190 117 73
65046,119 93
65047,117 49
65048,197 186 115
65049,132 18
65050,91 104 73
65051,94 100
65052,109 111 69
65053,6 121 117
65054,181 160
65055,18 33
65056,39 6 48
65057,99 31 73
65058,31 201 24
65059,69 44
65060,54 102
65061,99 15
65062,41 136 64
65063,81 28
65064,93 111 123
65065,92 135 200
65066,44 51 32
65067,117 40 38
65068,186 153 148
65069,58 152
65070,182 58
65071,179 166 51
65072,55 180
65073,67 149 51
65074,31 47 52
65075,190 51 138
65076,17 13 162
65077,81 154 19
65078,86 109 202
65079,179 146
65080,164 24 85
65081,136 132
65082,146 160 53
65083,33 90
65084,90 45
65085,78 95
65086,59 17 123
65087,25 27
65088,15 135 56
65089,152 174
65090,97 193 98
65091,103 99 37
65092,79 54 183
65093,83 105
65094,57 77
65095,33 93
65096,34 33 21
65097,28 194
65098,68 168
65099,25 8
65100,186 18 25
65101,33 131
65102,103 58
65103,186 99 160
65104,145 82
65105,97 61 96
65106,37 74 27
65107,70 184 29
65108,8 115
65109,68 76
65110,72 40 3
65111,25 66 132
65112,121 192 190
65113,90 59 12
65114,153 78
65115,198 95
65116,137 192 118
65117,80 3
65118,92 173
65119,113 76
65120,26 138
65121,101 26 195
65122,177 165 35
65123,200 31 192
65124,25 64 179
65125,80 93
65126,153 200 147
65127,135 101 147
65128,155 67
65129,200 143 174
65130,167 35 181
65131,47 165 92
65132,1 2
65133,151 11 67
65134,55 149 96
65135,22 83
65136,124 135 178
65137,92 24 47
65138,203 40 128
65139,127 195
65140,147 38 89
65141,31 50 169
65142,137 41
65143,136 45
65144,50 58 202
65145,33 117 41
65146,127 4 127
65147,30 184 66
65148,105 135 38
65149,189 88 45
65150,92 135
65151,139 138 96
65152,123 201 9
65153,176 16
65154,163 96 51
65155,146 107 183
65156,190 49
65157,55 120 158
65158,53 13
65159,110 70
65160,80 42
65161,44 203 104
65162,3 187 139
65163,42 138
65164,129 151 61
65165,63 104 74
65166,48 64
65167,192 149
65168,134 104
65169,25 14
65170,200 86
65171,99 126 162
65172,70 69 33
65173,34 183
65174,34 64
65175,63 51 20
65176,163 128
65177,26 42 166
65178,82 180 200
65179,89 163
65180,164 44
65181,67 135 145
65182,51 31
65183,39 102
65184,137 98 191
65185,113 122 12
65186,173 7 72
65187,186 65
65188,77 113 77
65189,14 134
65190,89 185
65191,140 97
65192,7 54
65193,157 41 84
65194,63 119 162
65195,196 53 57
65196,38 192
65197,67 193
65198,3 160 157
65199,136 122 188
65200,132 93
65201,141 30 82
65202,198 60 126
65203,150 158
65204,198 14 142
65205,6 2 102
65206,27 55
65207,168 96 85
65208,173 105
65209,12 12
65210,45 129
65211,172 37
65212,184 23 164
65213,24 135
65214,21 66
65215,121 37 15
65216,35 22
65217,38 143
65218,158 30
65219,92 178
65220,155 196
65221,154 30
65222,51 146 28
65223,118 75 41
65224,155 170
65225,110 3
65226,163 36
65227,107 28 128
65228,42 52 160
65229,80 27
65230,130 16
65231,197 36 81
65232,71 15 104
65233,17 179
65234,116 14 115
65235,34 87
65236,169 183
65237,60 199
65238,164 31
65239,10 175 121
65240,52 56 59
65241,86 161
65242,201 10
65243,74 31
65244,31 185
65245,30 121 110
65246,191 131 186
65247,166 43 195
65248,87 85 163
65249,35 177
65250,120 91
65251,88 41
65252,40 13 72
65253,189 82 118
65254,25 105
65255,167 115
65256,184 45 167
65257,132 177
65258,25 153
65259,162 185 141
65260,10 172 122
65261,115 169
65262,128 59 31
65263,115 46 70
65264,116 73 133
65265,195 6 104
65266,113 33
65267,178 36
65268,127 99 28
65269,4 114
65270,98 131
65271,157 89
65272,8 176
65273,170 143 92
65274,24 123 145
65275,79 98
65276,14 80 141
65277,162 184
65278,29 43 178
65279,5 145 120
65280,52 119
65281,71 7 107
65282,158 189
65283,1 114 73
