ArticleId,Labels
64858,64
64859,34
64860,34
64861,138
64862,103
64863,103
64864,103
64865,103
64866,103
64867,103
64868,103
64869,81
64870,200
64871,103
64872,103
64873,103
64874,34
64875,51 181
64876,200
64877,183 185 186
64878,103
64879,103
64880,103
64881,103
64882,45
64883,103
64884,51
64885,200
64886,181
64887,103
64888,175
64889,175
64890,45 103
64891,2
64892,11
64893,103
64894,103
64895,103
64896,71
64897,103
64898,81
64899,45
64900,103
64901,81
64902,45
64903,103
64904,103
64905,103
64906,181
64907,45
64908,2 175
64909,34
64910,34
64911,30
64912,9 42 103
64913,103
64914,103
64915,103
64916,175
64917,9 42 103
64918,103
64919,162
64920,9 103
64921,175
64922,167
64923,81
64924,167
64925,103
64926,195
64927,103
64928,8
64929,103
64930,152
64931,103
64932,120
64933,103
64934,103
64935,34
64936,103
64937,200
64938,103
64939,177
64940,200
64941,103
64942,103
64943,103
64944,103
64945,177
64946,103
64947,138
64948,103
64949,103
64950,103
64951,103
64952,138
64953,103
64954,103
64955,49
64956,200
64957,103
64958,103
64959,200
64960,42 103 200
64961,200
64962,200
64963,103
64964,200
64965,103
64966,138
64967,103
64968,103
64969,103
64970,113
64971,138
64972,34
64973,103
64974,64
64975,34
64976,45
64977,103
64978,8 180
64979,8
64980,103
64981,103
64982,81
64983,81
64984,81
64985,103
64986,103
64987,103
64988,103
64989,36
64990,138
64991,175
64992,103
64993,103
64994,103
64995,103
64996,103
64997,193
64998,103
64999,103
65000,103
65001,103
65002,11 86 193
65003,103
65004,103
65005,103
65006,103
65007,36
65008,103
65009,103
65010,81
65011,103
65012,103
65013,45
65014,103
65015,193
65016,200
65017,32 36
65018,103
65019,181
65020,2
65021,9 42 103
65022,103
65023,30
65024,181
65025,64
65026,103
65027,34 36
65028,103
65029,34
65030,34 36
65031,64
65032,36
65033,103
65034,103
65035,34
65036,103
65037,81
65038,61
65039,103
65040,30
65041,103
65042,177
65043,103
65044,103
65045,103
65046,103
65047,175
65048,103
65049,103
65050,30
65051,103
65052,103
65053,103
65054,103
65055,103
65056,103
65057,200
65058,103
65059,34 36
65060,103
65061,103
65062,103
65063,103
65064,42 103
65065,51 181
65066,103
65067,51 181
65068,103
65069,103
65070,200
65071,103
65072,9 42 103
65073,175
65074,103
65075,45
65076,45
65077,103
65078,180
65079,180
65080,103
65081,8 180
65082,177
65083,177
65084,103
65085,103
65086,103
65087,103
65088,103
65089,103
65090,34
65091,34
65092,200
65093,9 42 103
65094,103
65095,103
65096,193
65097,42 45 103
65098,103
65099,103
65100,193
65101,103
65102,103
65103,103
65104,103
65105,175
65106,177
65107,103
65108,140
65109,103
65110,103
65111,103
65112,103
65113,11
65114,11 193
65115,11 193
65116,11
65117,103
65118,193
65119,193
65120,103
65121,103
65122,103
65123,193
65124,193
65125,193
65126,193
65127,193
65128,103
65129,193
65130,103
65131,103
65132,103
65133,25
65134,103
65135,11
65136,103
65137,103
65138,193
65139,193
65140,11 193
65141,169
65142,9 45 103 113
65143,51 181
65144,9 42 103
65145,186
65146,103
65147,103
65148,103
65149,103
65150,103
65151,103
65152,162
65153,9 42 103
65154,103
65155,103
65156,103
65157,181
65158,103
65159,101
65160,103
65161,113
65162,103
65163,103
65164,103
65165,103
65166,113
65167,186
65168,103
65169,178
65170,123
65171,103
65172,34
65173,103
65174,36
65175,103
65176,103
65177,103
65178,9 42 103
65179,177 200
65180,103
65181,9 103
65182,181
65183,2
65184,34
65185,103
65186,181
65187,175
65188,45
65189,2
65190,103
65191,138
65192,34
65193,103
65194,103
65195,36
65196,36
65197,36
65198,34
65199,103
65200,103
65201,193
65202,103
65203,103
65204,193
65205,193
65206,103
65207,103
65208,103
65209,103
65210,11
65211,193
65212,36
65213,193
65214,103
65215,36
65216,34
65217,34
65218,103
65219,103
65220,2
65221,193
65222,103
65223,103
65224,71
65225,11
65226,113
65227,103
65228,103
65229,103
65230,193
65231,113
65232,193
65233,103
65234,103
65235,51 181
65236,9 42 103
65237,25
65238,103
65239,25
65240,103
65241,103 113
65242,103
65243,103
65244,113
65245,103
65246,2
65247,103
65248,103
65249,103
65250,51 181
65251,103
65252,101
65253,9 42 103
65254,193
65255,193
65256,103
65257,133
65258,51 181
65259,166
65260,200
65261,180
65262,175
65263,186
65264,8
65265,113
65266,181
65267,186
65268,103
65269,103
65270,103
65271,103
65272,103
65273,103
65274,103
65275,103
65276,117
65277,103
65278,103
65279,103
65280,103
65281,103
65282,103
65283,195
65284,195
65285,195
65286,103
65287,181
65288,49
65289,103
65290,49
65291,103
65292,167
65293,103
65294,41
65295,103
65296,117
65297,103
65298,51 181
65299,103
65300,47
65301,120
65302,120
65303,120
65304,103 113
65305,103
65306,103
65307,103
65308,103
65309,103
65310,186
65311,124
65312,103
65313,101
65314,103
65315,106
65316,103
65317,103
65318,9 42 103
65319,103
65320,167
65321,103
65322,103
65323,103
65324,200
65325,103
65326,103
65327,103
65328,177 200
65329,170
65330,138
65331,200
65332,30
65333,103
65334,103
65335,138
65336,103
65337,103
65338,200
65339,138
65340,98
65341,200
65342,78 162
65343,162
65344,138
65345,81
65346,103
65347,103
65348,162
65349,195
65350,200
65351,200
65352,61
65353,103
65354,103
65355,103
65356,177 200
65357,200
65358,113
65359,103
65360,81
65361,103
65362,113
65363,103
65364,103
65365,103
65366,9 103 113
65367,103
65368,103
65369,103
65370,2 103
65371,78
65372,78
65373,78 162
65374,78 153 162
65375,103
65376,103
65377,103
65378,103
65379,103
65380,78 153 162 163
65381,103
65382,103
65383,103
65384,124
65385,81
65386,117
65387,103
65388,117
65389,103
65390,152
65391,103
65392,103
65393,103
65394,177
65395,103
65396,122
65397,103
65398,103
65399,103
65400,81
65401,45
65402,81
65403,45
65404,103
65405,103
65406,177
65407,81
65408,81
65409,81
65410,103
65411,98
65412,103
65413,98
65414,177
65415,200
65416,103
65417,200
65418,103
65419,200
65420,45 200
65421,2
65422,103
65423,138
65424,181
65425,103
65426,103
65427,45
65428,181
65429,103
65430,103
65431,103
65432,103
65433,103
65434,103
65435,9 103 200
65436,103
65437,177
65438,45
65439,103
65440,45
65441,103
65442,45
65443,103
65444,45
65445,103
65446,103
65447,103
65448,103
65449,9 103
65450,103
65451,103
65452,162
65453,103
65454,103
65455,162
65456,103
65457,103
65458,103
65459,200
65460,103
65461,120
65462,103
65463,103
65464,103
65465,200
65466,45
65467,103
65468,200
65469,103
65470,103
65471,200
65472,103
65473,103
65474,103
65475,103
65476,103
65477,45
65478,103
65479,103
65480,42 103
65481,103
65482,103
65483,103
65484,138
65485,47
65486,2
65487,103
65488,103
65489,103
65490,103
65491,81
65492,120
65493,103
65494,103
65495,81
65496,103
65497,103
65498,81
65499,103
65500,103
65501,103
65502,103
65503,200
65504,103
65505,2 45
65506,103
65507,61
65508,103
65509,103
65510,103
65511,45 175
65512,9 103
65513,2
65514,103
65515,103
65516,103
65517,103
65518,103
65519,61
65520,103
65521,2
65522,103
65523,103
65524,45
65525,103
65526,103
65527,103
65528,9 103
65529,103
65530,103
65531,9 42 103
65532,118
65533,118
65534,103
65535,103
65536,35
65537,103
65538,103
65539,200
65540,103
65541,103
65542,186
65543,186
65544,47
65545,103
65546,47
65547,103
65548,195
65549,103
65550,103
65551,186 195
65552,200
65553,103
65554,103
65555,103 200
65556,103
65557,200
65558,200
65559,103
65560,103
65561,103
65562,103
65563,103
65564,200
65565,30
65566,103
65567,103
65568,103
65569,103
65570,103
65571,200
65572,103
65573,36
65574,34
65575,103
65576,103
65577,103
65578,103
65579,183 185
65580,186
65581,103
65582,103
65583,2
65584,2 103 118
65585,103
65586,81
65587,103
65588,103
65589,186
65590,2
65591,103
65592,103
65593,47 186
65594,49
65595,103
65596,103
65597,103
65598,98
65599,181
65600,103
65601,103
65602,162
65603,186
65604,103
65605,103
65606,103
65607,81
65608,103
65609,103
65610,8
65611,175
65612,103
65613,170
65614,103
65615,103
65616,2
65617,9 103 113
65618,103
65619,170
65620,103
65621,103
65622,2
65623,2
65624,103
65625,103
65626,103
65627,103
65628,103
65629,103
65630,103
65631,103
65632,103
65633,103
65634,200
65635,103
65636,200
65637,103
65638,78 162
65639,162
65640,81
65641,113
65642,181
65643,42 103
65644,103
65645,2
65646,103
65647,103
65648,103
65649,103 138
65650,103
65651,181
65652,103
65653,42 103
65654,167
65655,103
65656,103
65657,103
65658,36
65659,103
65660,103
65661,103
65662,34
65663,195
65664,81
65665,81
65666,61 152
65667,103
65668,177 200
65669,200
65670,200
65671,103
65672,103
65673,103
65674,2 45
65675,103
65676,200
65677,103
65678,45
65679,45
65680,103
65681,103
65682,34 36
65683,103
65684,200
65685,36
65686,200
65687,103
65688,103
65689,200
65690,103
65691,103
65692,200
65693,103
65694,103
65695,200
65696,49
65697,103
65698,64
65699,200
65700,103
65701,200
65702,103
65703,2 45
65704,103
65705,200
65706,45
65707,103
65708,51 120
65709,103
65710,45
65711,103
65712,103
65713,47
65714,45
65715,103
65716,103
65717,9 42 103
65718,138
65719,103
65720,181
65721,103
65722,103
65723,61 152
65724,103
65725,45
65726,103
65727,200
65728,200
65729,103
65730,103
65731,103
65732,152
65733,103
65734,47
65735,42 103
65736,103
65737,103
65738,103
65739,103
65740,120
65741,103
65742,103
65743,103
65744,103
65745,103
65746,103
65747,45 167
65748,103
65749,42 103
65750,103
65751,103
65752,103
65753,49
65754,103
65755,103
65756,45
65757,118
65758,103
65759,2
65760,49 167
65761,103
65762,103
65763,103
65764,103
65765,61
65766,103
65767,103
65768,103
65769,103
65770,181
65771,103
65772,103
65773,103
65774,103
65775,103
65776,103
65777,103
65778,200
65779,103
65780,81
65781,195
65782,45
65783,200
65784,49
65785,81
65786,103
65787,103
65788,103
65789,103
65790,103
65791,138
65792,103
65793,103
65794,103
65795,103
65796,200
65797,103
65798,162
65799,138
65800,9 103
65801,200
65802,103
65803,103
65804,103
65805,49
65806,103
65807,103
65808,200
65809,49
65810,2
65811,103
65812,103
65813,45
65814,103
65815,200
65816,9 45 103 181
65817,103
65818,200
65819,103
65820,61
65821,103
65822,2 45
65823,103
65824,103
65825,2
65826,2
65827,103
65828,103
65829,103
65830,61
65831,138
65832,45
65833,103
65834,103
65835,103
65836,103
65837,103
65838,152
65839,103
65840,2
65841,2
65842,103
65843,9 103
65844,200
65845,9 42 103
65846,103
65847,200
65848,103
65849,138
65850,103
65851,81
65852,103
65853,200
65854,103
65855,2
65856,200
65857,200
65858,103
65859,113
65860,103
65861,103
65862,103
65863,98
65864,103
65865,103
65866,58
65867,103
65868,200
65869,81
65870,103
65871,103
65872,103
65873,49
65874,103
65875,103
65876,195
65877,180
65878,103
65879,103
65880,103
65881,103
65882,162
65883,162
65884,103
65885,181
65886,2
65887,2
65888,45
65889,103
65890,119 138
65891,103
65892,9
65893,103
65894,103 113
65895,103
65896,103
65897,103
65898,49
65899,103
65900,200
65901,138
65902,200
65903,45
65904,103
65905,45
65906,103
65907,103
65908,103
65909,103
65910,103
65911,34
65912,103
65913,200
65914,200
65915,103
65916,34
65917,45
65918,103
65919,45 120
65920,103
65921,103
65922,103
65923,103
65924,103
65925,2
65926,103
65927,2
65928,103
65929,103
65930,103
65931,170
65932,186
65933,175
65934,103
65935,103
65936,103
65937,103
65938,36
65939,200
65940,34
65941,103
65942,81
65943,42 103
65944,103
65945,103
65946,103
65947,103
65948,103
65949,103
65950,103
65951,103
65952,103
65953,103
65954,103
65955,103
65956,103
65957,152
65958,117
65959,36
65960,103
65961,103
65962,98
65963,193
65964,103
65965,200
65966,103
65967,103
65968,101
65969,162
65970,34
65971,103
65972,103
65973,103
65974,36
65975,64
65976,64
65977,103
65978,103
65979,103
65980,2
65981,103
65982,200
65983,98
65984,9 103
65985,103
65986,103
65987,103
65988,103
65989,36
65990,113
65991,103
65992,103
65993,32 36
65994,103
65995,103
65996,103
65997,103
65998,103
65999,45
66000,36
66001,36
66002,36
66003,103
66004,64
66005,103
66006,36
66007,103
66008,103
66009,103
66010,103
66011,103
66012,138
66013,138
66014,103
66015,81
66016,103
66017,103
66018,103
66019,103
66020,103
66021,2 45
66022,45 181
66023,200
66024,138
66025,200
66026,103
66027,103
66028,103
66029,36
66030,103
66031,32
66032,103
66033,34
66034,36
66035,103
66036,34
66037,36
66038,2
66039,200
66040,200
66041,103
66042,200
66043,103
66044,200
66045,103
66046,8
66047,103
66048,103
66049,103
66050,200
66051,103
66052,36
66053,103
66054,103
66055,36
66056,36
66057,103
66058,103
66059,186
66060,200
66061,103
66062,200
66063,36
66064,34
66065,200
66066,177
66067,200
66068,36
66069,200
66070,103
66071,103
66072,103
66073,103
66074,9 42 103
66075,103
66076,103
66077,103
66078,103
66079,103
66080,103
66081,103
66082,186
66083,103
66084,103
66085,103
66086,103
66087,2
66088,103
66089,103
66090,103
66091,103
66092,103
66093,103
66094,34 36
66095,61 152
66096,103
66097,8 170
66098,8
66099,103
66100,103
66101,103
66102,200
66103,103
66104,178
66105,103
66106,103
66107,103
66108,103
66109,103
66110,103
66111,103
66112,34
66113,113
66114,86 193
66115,34
66116,103
66117,177 200
66118,200
66119,103
66120,200
66121,103
66122,36
66123,103
66124,162
66125,103
66126,103
66127,81
66128,103
66129,98
66130,103
66131,200
66132,103
66133,103
66134,200
66135,103
66136,175
66137,175
66138,200
66139,200
66140,45
66141,61 152
66142,103 138
66143,103
66144,2
66145,103
66146,9 103
66147,42 103
66148,34 36
66149,103
66150,103
66151,138
66152,103
66153,103
66154,103
66155,9 42 103
66156,103
66157,103
66158,200
66159,200
66160,103 110
66161,36
66162,103
66163,98
66164,103
66165,103
66166,103
66167,42 49 103
66168,103
66169,103
66170,34
66171,36
66172,103
66173,103
66174,103
66175,200
66176,36
66177,200
66178,103
66179,103
66180,200
66181,103
66182,103
66183,103
66184,103
66185,103
66186,103
66187,200
66188,200
66189,103
66190,34 36
66191,103
66192,200
66193,113
66194,103
66195,34 36
66196,103
66197,162
66198,103
66199,98
66200,103
66201,36
66202,103
66203,32 36
66204,64
66205,103
66206,103
66207,103
66208,36
66209,103
66210,103
66211,103
66212,103
66213,36
66214,34
66215,34 36
66216,180
66217,103
66218,103
66219,103
66220,34 36
66221,36
66222,103
66223,36
66224,36
66225,103
66226,34 36
66227,120
66228,103
66229,195
66230,103
66231,103
66232,103
66233,200
66234,103
66235,103
