ArticleId,Labels
64858,103
64859,103
64860,103
64861,103
64862,103
64863,103
64864,103
64865,103
64866,103
64867,103
64868,103
64869,103
64870,103
64871,103
64872,103
64873,103
64874,103
64875,103
64876,103
64877,103
64878,103
64879,103
64880,103
64881,103
64882,103
64883,103
64884,103
64885,103
64886,103
64887,103
64888,103
64889,103
64890,103
64891,103
64892,103
64893,103
64894,103
64895,103
64896,103
64897,103
64898,103
64899,103
64900,103
64901,103
64902,103
64903,103
64904,103
64905,103
64906,103
64907,103
64908,103
64909,103
64910,103
64911,103
64912,103
64913,103
64914,103
64915,103
64916,103
64917,103
64918,103
64919,103
64920,103
64921,103
64922,103
64923,103
64924,103
64925,103
64926,103
64927,103
64928,103
64929,103
64930,103
64931,103
64932,103
64933,103
64934,103
64935,103
64936,103
64937,103
64938,103
64939,103
64940,103
64941,103
64942,103
64943,103
64944,103
64945,103
64946,103
64947,103
64948,103
64949,103
64950,103
64951,103
64952,103
64953,103
64954,103
64955,103
64956,103
64957,103
64958,103
64959,200
64960,103
64961,200
64962,103
64963,103
64964,103
64965,103
64966,103
64967,103
64968,103
64969,103
64970,103
64971,103
64972,103
64973,103
64974,103
64975,103
64976,103
64977,103
64978,103
64979,103
64980,103
64981,103
64982,103
64983,103
64984,103
64985,103
64986,103
64987,103
64988,103
64989,103
64990,103
64991,103
64992,103
64993,103
64994,103
64995,103
64996,103
64997,103
64998,103
64999,103
65000,103
65001,103
65002,103
65003,103
65004,103
65005,103
65006,103
65007,103
65008,103
65009,103
65010,103
65011,103
65012,103
65013,103
65014,103
65015,103
65016,103
65017,103
65018,103
65019,103
65020,103
65021,103
65022,103
65023,103
65024,103
65025,103
65026,103
65027,103
65028,103
65029,103
65030,103
65031,103
65032,103
65033,103
65034,103
65035,103
65036,103
65037,103
65038,103
65039,103
65040,103
65041,103
65042,103
65043,103
65044,103
65045,103
65046,103
65047,103
65048,103
65049,103
65050,103
65051,103
65052,103
65053,103
65054,103
65055,103
65056,103
65057,103
65058,103
65059,103
65060,103
65061,103
65062,103
65063,103
65064,103
65065,103
65066,103
65067,103
65068,103
65069,103
65070,103
65071,103
65072,103
65073,103
65074,103
65075,103
65076,103
65077,103
65078,103
65079,103
65080,103
65081,103
65082,103
65083,103
65084,103
65085,103
65086,103
65087,103
65088,103
65089,103
65090,103
65091,103
65092,200
65093,103
65094,34 36
65095,103
65096,103
65097,103
65098,103
65099,103
65100,103
65101,103
65102,103
65103,103
65104,103
65105,103
65106,103
65107,103
65108,103
65109,103
65110,103
65111,103
65112,103
65113,103
65114,103
65115,103
65116,103
65117,103
65118,193
65119,103
65120,103
65121,103
65122,103
65123,193
65124,103
65125,193
65126,193
65127,193
65128,103
65129,103
65130,103
65131,103
65132,103
65133,103
65134,103
65135,103
65136,103
65137,103
65138,103
65139,103
65140,193
65141,103
65142,103
65143,103
65144,103
65145,103
65146,103
65147,103
65148,103
65149,103
65150,103
65151,103
65152,103
65153,103
65154,103
65155,103
65156,103
65157,103
65158,103
65159,103
65160,103
65161,103
65162,103
65163,103
65164,103
65165,103
65166,103
65167,103
65168,103
65169,103
65170,103
65171,103
65172,103
65173,103
65174,103
65175,103
65176,103
65177,103
65178,103
65179,103
65180,103
65181,103
65182,103
65183,103
65184,103
65185,103
65186,103
65187,103
65188,103
65189,103
65190,103
65191,103
65192,103
65193,34 36
65194,103
65195,103
65196,103
65197,103
65198,103
65199,103
65200,103
65201,103
65202,103
65203,103
65204,103
65205,103
65206,103
65207,103
65208,103
65209,103
65210,103
65211,193
65212,103
65213,103
65214,103
65215,103
65216,103
65217,103
65218,103
65219,103
65220,103
65221,103
65222,103
65223,103
65224,103
65225,103
65226,103
65227,103
65228,103
65229,103
65230,193
65231,103
65232,193
65233,103
65234,103
65235,103
65236,103
65237,103
65238,103
65239,103
65240,103
65241,103
65242,103
65243,103
65244,103
65245,103
65246,103
65247,103
65248,103
65249,103
65250,103
65251,103
65252,103
65253,103
65254,103
65255,193
65256,103
65257,103
65258,103
65259,103
65260,103
65261,103
65262,103
65263,103
65264,103
65265,103
65266,103
65267,103
65268,103
65269,103
65270,103
65271,103
65272,103
65273,103
65274,103
65275,103
65276,103
65277,103
65278,103
65279,103
65280,103
65281,103
65282,103
65283,103
65284,103
65285,103
65286,103
65287,103
65288,103
65289,103
65290,103
65291,103
65292,103
65293,103
65294,103
65295,103
65296,103
65297,103
65298,103
65299,103
65300,103
65301,103
65302,103
65303,103
65304,103
65305,103
65306,103
65307,103
65308,103
65309,103
65310,103
65311,103
65312,103
65313,103
65314,103
65315,103
65316,103
65317,103
65318,103
65319,103
65320,103
65321,103
65322,103
65323,103
65324,103
65325,103
65326,103
65327,103
65328,103
65329,103
65330,103
65331,103
65332,103
65333,103
65334,103
65335,103
65336,103
65337,103
65338,103
65339,103
65340,103
65341,103
65342,103
65343,103
65344,103
65345,103
65346,103
65347,103
65348,103
65349,103
65350,103
65351,103
65352,103
65353,103
65354,103
65355,103
65356,103
65357,103
65358,103
65359,103
65360,103
65361,103
65362,103
65363,103
65364,103
65365,103
65366,103
65367,103
65368,103
65369,103
65370,103
65371,103
65372,103
65373,103
65374,103
65375,103
65376,103
65377,103
65378,103
65379,103
65380,103
65381,103
65382,103
65383,103
65384,103
65385,103
65386,103
65387,103
65388,103
65389,103
65390,103
65391,103
65392,103
65393,103
65394,103
65395,103
65396,103
65397,103
65398,103
65399,103
65400,103
65401,103
65402,103
65403,103
65404,103
65405,103
65406,103
65407,103
65408,103
65409,103
65410,103
65411,103
65412,103
65413,103
65414,103
65415,103
65416,103
65417,103
65418,103
65419,103
65420,103
65421,103
65422,98
65423,103
65424,103
65425,103
65426,103
65427,103
65428,103
65429,103
65430,103
65431,103
65432,103
65433,103
65434,103
65435,103
65436,103
65437,103
65438,103
65439,103
65440,103
65441,103
65442,103
65443,103
65444,103
65445,103
65446,103
65447,103
65448,103
65449,103
65450,103
65451,103
65452,103
65453,103
65454,103
65455,103
65456,103
65457,103
65458,103
65459,103
65460,103
65461,103
65462,103
65463,103
65464,103
65465,103
65466,103
65467,103
65468,103
65469,103
65470,103
65471,103
65472,103
65473,103
65474,103
65475,103
65476,103
65477,103
65478,103
65479,103
65480,103
65481,103
65482,103
65483,103
65484,103
65485,103
65486,103
65487,103
65488,103
65489,103
65490,103
65491,103
65492,103
65493,103
65494,103
65495,103
65496,103
65497,103
65498,103
65499,103
65500,103
65501,103
65502,103
65503,103
65504,103
65505,103
65506,103
65507,103
65508,103
65509,103
65510,103
65511,103
65512,103
65513,103
65514,103
65515,103
65516,103
65517,103
65518,103
65519,103
65520,103
65521,103
65522,103
65523,103
65524,103
65525,103
65526,103
65527,103
65528,103
65529,103
65530,103
65531,103
65532,103
65533,103
65534,103
65535,103
65536,103
65537,103
65538,103
65539,103
65540,103
65541,103
65542,103
65543,103
65544,103
65545,103
65546,103
65547,103
65548,103
65549,103
65550,103
65551,103
65552,103
65553,103
65554,103
65555,103
65556,103
65557,103
65558,103
65559,103
65560,103
65561,103
65562,103
65563,103
65564,103
65565,103
65566,103
65567,103
65568,103
65569,103
65570,103
65571,103
65572,103
65573,103
65574,103
65575,103
65576,103
65577,103
65578,103
65579,103
65580,103
65581,103
65582,103
65583,103
65584,103
65585,103
65586,81
65587,103
65588,103
65589,103
65590,103
65591,103
65592,103
65593,103
65594,103
65595,103
65596,103
65597,98
65598,98
65599,103
65600,103
65601,103
65602,103
65603,103
65604,103
65605,103
65606,103
65607,103
65608,103
65609,103
65610,103
65611,103
65612,103
65613,103
65614,103
65615,103
65616,103
65617,103
65618,103
65619,103
65620,103
65621,103
65622,103
65623,103
65624,103
65625,103
65626,103
65627,103
65628,103
65629,103
65630,103
65631,103
65632,103
65633,103
65634,103
65635,103
65636,103
65637,103
65638,103
65639,103
65640,103
65641,103
65642,103
65643,103
65644,103
65645,103
65646,103
65647,103
65648,103
65649,103
65650,103
65651,103
65652,103
65653,103
65654,103
65655,103
65656,103
65657,103
65658,103
65659,103
65660,103
65661,103
65662,103
65663,103
65664,103
65665,103
65666,103
65667,103
65668,103
65669,103
65670,103
65671,103
65672,103
65673,103
65674,103
65675,103
65676,103
65677,103
65678,103
65679,103
65680,103
65681,103
65682,103
65683,103
65684,103
65685,103
65686,103
65687,103
65688,103
65689,103
65690,103
65691,103
65692,103
65693,103
65694,103
65695,103
65696,103
65697,103
65698,103
65699,103
65700,103
65701,103
65702,103
65703,103
65704,103
65705,103
65706,103
65707,103
65708,103
65709,103
65710,103
65711,103
65712,103
65713,103
65714,103
65715,103
65716,103
65717,103
65718,103
65719,103
65720,103
65721,103
65722,103
65723,103
65724,103
65725,103
65726,103
65727,103
65728,103
65729,103
65730,103
65731,103
65732,103
65733,103
65734,103
65735,103
65736,103
65737,103
65738,103
65739,103
65740,9 41 47 49 51 61 81 113 120 136 138 152 162 167 170 186 195
65741,103
65742,103
65743,103
65744,103
65745,103
65746,103
65747,103
65748,103
65749,103
65750,103
65751,103
65752,103
65753,49
65754,103
65755,103
65756,103
65757,103
65758,103
65759,103
65760,103
65761,103
65762,103
65763,103
65764,103
65765,103
65766,103
65767,103
65768,103
65769,103
65770,103
65771,103
65772,103
65773,103
65774,103
65775,103
65776,103
65777,103
65778,103
65779,103
65780,103
65781,103
65782,103
65783,103
65784,103
65785,103
65786,103
65787,103
65788,103
65789,103
65790,103
65791,103
65792,103
65793,103
65794,103
65795,103
65796,103
65797,103
65798,103
65799,103
65800,103
65801,200
65802,103
65803,103
65804,103
65805,103
65806,103
65807,103
65808,103
65809,103
65810,103
65811,103
65812,103
65813,103
65814,103
65815,103
65816,103
65817,103
65818,103
65819,103
65820,103
65821,103
65822,103
65823,103
65824,103
65825,103
65826,103
65827,103
65828,103
65829,103
65830,103
65831,103
65832,103
65833,103
65834,103
65835,103
65836,103
65837,103
65838,103
65839,103
65840,103
65841,103
65842,103
65843,103
65844,103
65845,103
65846,103
65847,103
65848,103
65849,103
65850,103
65851,103
65852,103
65853,103
65854,103
65855,103
65856,103
65857,103
65858,103
65859,103
